Ethnicity_collapsed,n,Frequency,N,Sum,Percentage,Ethnicity_short
White British,7747,7732.236252472267,10155,10155.00000000001,76.1421590593034,White British
Arab/British Arab,19,32.50049480333174,10155,10155.00000000001,0.32004426197273966,Arab/British Arab
Asian/Asian British,600,846.8557981718709,10155,10155.00000000001,8.339298849550666,Asian/Asian British
Black/African/Caribbean/Black British,484,336.1031425254906,10155,10155.00000000001,3.3097306009403282,Black/African/Caribbean/Black British
Mixed/Multiple ethnic group,316,184.80459677638035,10155,10155.00000000001,1.8198384714562303,Mixed/Multiple ethnic group
Other ethnic group,16,30.458082477529075,10155,10155.00000000001,0.2999318806255938,Other ethnic group
Prefer not to say,381,380.77298077444607,10155,10155.00000000001,3.7496108397286627,Prefer not to say
White other,592,611.2686519986928,10155,10155.00000000001,6.019386036422376,White other
