Gender,n,Frequency,N,Sum,percentage,wtd_percentage
Female,5171,5117.60823917609,10155,10155.00000000001,50.9207287050714,50.39496050394964
Male,4904,4957.175282471753,10155,10155.00000000001,48.29148202855736,48.81511848815114
Other,14,15.37402611915058,10155,10155.00000000001,0.137863121614968,0.1513936594697249
Prefer not to say,66,64.84245223301424,10155,10155.00000000001,0.6499261447562776,0.6385273484294849
