variable,Estimate,or,Std. Error,t value,Pr(>|t|)
(Intercept),-1.7316776492423414,0.177,0.030665197380365643,-56.470455016575315,0
Ethnicity_binaryNon-White British,0.6302122374290245,1.878,0.06212753322270206,10.143847739294086,4.5953606384429215e-24
