UnitOccupation_labelled,outsourcing_status,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
"Directors In Logistics, Warehousing And Transport",Not outsourced,12,11.847789531050438,18.431576804341415,17.077459700591948,13,12.618403955258298,93.89293268039076
"Directors In Logistics, Warehousing And Transport",Outsourced,1,0.7706144242078602,16.233544778664484,16.233544778664484,13,12.618403955258298,6.107067319609247
Electrical And Electronic Trades,Not outsourced,33,40.178712195427586,17.649178758612354,17.349451421115656,46,50.70326816364707,79.2428449892993
Electrical And Electronic Trades,Outsourced,13,10.524555968219483,20.45134877688965,19.752719848757817,46,50.70326816364707,20.757155010700707
Elementary Administration Occupations,Not outsourced,34,41.95525264086365,14.263606424263605,14.098936334420921,45,57.09330375200571,73.48541752479991
Elementary Administration Occupations,Outsourced,11,15.138051111142063,11.131722936971556,10.959796536961479,45,57.09330375200571,26.514582475200093
Elementary Agricultural Occupations,Not outsourced,6,5.531656130048352,14.332140812179825,12.592331210529215,6,5.531656130048352,100
Elementary Cleaning Occupations,Not outsourced,113,149.80363005875617,12.208599069678804,12.073977227069163,173,230.46023901764588,65.00194163527098
Elementary Cleaning Occupations,Outsourced,60,80.6566089588897,11.669249305162209,11.13136663547195,173,230.46023901764588,34.99805836472902
Elementary Construction Occupations,Not outsourced,13,14.934232281953781,22.15933594845622,19.390399388788907,18,21.152506498388526,70.60266017689925
Elementary Construction Occupations,Outsourced,5,6.218274216434743,16.181928995293635,15.315757754133244,18,21.152506498388526,29.397339823100744
Elementary Process Plant Occupations,Not outsourced,21,24.69433503774286,12.736361783285696,12.751938471132435,27,31.52622186095399,78.32950978603436
Elementary Process Plant Occupations,Outsourced,6,6.831886823211127,14.38575462597562,13.890930719720878,27,31.52622186095399,21.67049021396563
Elementary Sales Occupations,Not outsourced,11,10.87396078737244,10.978137112370272,11.101538171604492,11,10.87396078737244,100
Elementary Security Occupations,Not outsourced,57,60.41137886480463,13.845273035699211,13.655960814441954,83,93.24612874094736,64.78701012096394
Elementary Security Occupations,Outsourced,26,32.83474987614272,14.234859003775156,14.556795195063424,83,93.24612874094736,35.21298987903606
Elementary Storage Occupations,Not outsourced,124,147.32997316041855,12.717576992310489,12.623250500452395,161,189.69076208524018,77.66850190322593
Elementary Storage Occupations,Outsourced,37,42.36078892482164,13.503148371658476,12.96479088593757,161,189.69076208524018,22.331498096774073
Engineering Professionals,Not outsourced,95,85.06750024144674,21.0370688804257,20.633571076327144,116,104.59852508199182,81.32762883106118
Engineering Professionals,Outsourced,21,19.53102484054508,22.020061322682803,21.73565751494407,116,104.59852508199182,18.672371168938817
Finance Associate Professionals,Not outsourced,55,51.402936927358766,21.41900087033619,20.48349661101268,67,61.777561269551974,83.20648447593139
Finance Associate Professionals,Outsourced,12,10.374624342193208,19.261759153861203,18.66883754033897,67,61.777561269551974,16.79351552406861
Finance Professionals,Not outsourced,110,96.88828340339842,22.642468503141878,22.801998223165683,130,116.2630795135228,83.33538369085531
Finance Professionals,Outsourced,20,19.374796110124382,20.951186768576672,20.16292960757646,130,116.2630795135228,16.66461630914469
Food Preparation And Hospitality Trades,Not outsourced,98,111.49304943251954,13.43749595127751,13.05800526522882,121,141.76799915813223,78.64472243002942
Food Preparation And Hospitality Trades,Outsourced,23,30.274949725612686,13.06844066082596,12.65722146004186,121,141.76799915813223,21.355277569970575
Functional Managers And Directors,Not outsourced,385,348.9144975284028,22.368429793037482,22.40837611705259,473,434.1492578388396,80.36740619234763
Functional Managers And Directors,Outsourced,88,85.23476031043677,20.354444989263914,20.530220075674965,473,434.1492578388396,19.632593807652373
Hairdressers And Related Services,Not outsourced,13,13.106877418897188,10.827575130690548,10.805384589060614,16,15.890069402370568,82.48470844905079
Hairdressers And Related Services,Outsourced,3,2.7831919834733805,10.433511080140914,9.974767396716,16,15.890069402370568,17.51529155094923
Health And Social Services Managers And Directors,Not outsourced,27,22.866044379881775,17.34875566077883,17.135708451952055,33,28.780393230995646,79.4500762944952
Health And Social Services Managers And Directors,Outsourced,6,5.914348851113871,16.515909555964804,15.411794037122913,33,28.780393230995646,20.549923705504796
Health Associate Professionals,Not outsourced,41,37.79510673231885,18.195602713436678,17.637764042073677,46,42.42871021348951,89.07908475686475
Health Associate Professionals,Outsourced,5,4.6336034811706615,23.622889809699203,22.0824149005895,46,42.42871021348951,10.920915243135257
Housekeeping And Related Services,Not outsourced,47,62.33614881215508,11.673141096923427,12.26427013826553,56,70.523471775957,88.39064107647468
Housekeeping And Related Services,Outsourced,9,8.18732296380192,11.925255837482663,11.34070379377372,56,70.523471775957,11.609358923525313
"Hr, Training And Other Vocational Associate Guidance Professionals",Not outsourced,115,111.11120090188872,19.93798557945115,20.16319850415541,126,120.30416507843537,92.35856533266902
"Hr, Training And Other Vocational Associate Guidance Professionals",Outsourced,11,9.19296417654665,19.420971262052316,19.631807496849895,126,120.30416507843537,7.641434667330977
Information Technology Professionals,Not outsourced,231,206.0491460869119,24.118639411979775,24.073950026965438,281,246.8305204235119,83.47798551547542
Information Technology Professionals,Outsourced,50,40.78137433660002,21.71777864886094,21.948344742357833,281,246.8305204235119,16.522014484524572
Information Technology Technicians,Not outsourced,90,81.1091060613661,21.67909350299759,21.004026676498935,117,104.54822491627482,77.58056736622795
Information Technology Technicians,Outsourced,27,23.43911885490872,17.481972732380274,15.631251303484765,117,104.54822491627482,22.41943263377205
Legal Associate Professionals,Not outsourced,18,17.299472694186782,17.32370721761654,15.961304895307734,19,18.483495083666686,93.59416396022316
Legal Associate Professionals,Outsourced,1,1.1840223894799036,11.688152240638429,11.688152240638429,19,18.483495083666686,6.405836039776855
Legal Professionals,Not outsourced,37,30.567758631380162,23.234363867580708,23.339414043532855,41,33.73024546671438,90.62418078618782
Legal Professionals,Outsourced,4,3.162486835334221,27.344115160522545,29.325406827207352,41,33.73024546671438,9.375819213812186
Leisure And Travel Services,Not outsourced,42,44.655072342796466,16.17881307717258,16.336334273857496,45,49.54955698090099,90.1220415754855
Leisure And Travel Services,Outsourced,3,4.8944846381045215,14.076731173706085,14.99261844620777,45,49.54955698090099,9.8779584245145
Librarians And Related Professionals,Not outsourced,12,9.583148005392314,18.55486434342801,18.881490692643258,13,10.658273042294942,89.91276511085579
Librarians And Related Professionals,Outsourced,1,1.0751250369026277,17.307823477252573,17.307823477252573,13,10.658273042294942,10.087234889144213
Managers And Directors In Retail And Wholesale,Not outsourced,73,81.84389495895267,16.581982378933137,15.843708296356922,89,98.01720196928315,83.49952183352582
Managers And Directors In Retail And Wholesale,Outsourced,16,16.173307010330475,17.8890830105809,16.859182069312485,89,98.01720196928315,16.50047816647419
Managers And Proprietors In Agriculture Related Services,Not outsourced,2,1.6059869576801433,23.94367710251688,24.062599436243417,4,2.721650291553327,59.007836630016065
Managers And Proprietors In Agriculture Related Services,Outsourced,2,1.1156633338731838,11.88933833201789,11.811172830580588,4,2.721650291553327,40.99216336998393
Managers And Proprietors In Health And Care Services,Not outsourced,24,17.619815373961867,16.794025516281962,16.66976697084299,29,21.93406593674376,80.33082158490872
Managers And Proprietors In Health And Care Services,Outsourced,5,4.3142505627818934,20.41135666052793,20.77153485484588,29,21.93406593674376,19.669178415091285
Managers And Proprietors In Hospitality And Leisure Services,Not outsourced,53,55.40590467701732,14.210313298569483,13.713832505391125,60,63.39185346755424,87.40224752282349
Managers And Proprietors In Hospitality And Leisure Services,Outsourced,7,7.985948790536921,14.957742949850289,15.913429889485837,60,63.39185346755424,12.597752477176517
Managers And Proprietors In Other Services,Not outsourced,50,50.84964983084262,19.625141733628233,19.006247274618502,59,61.46374371063672,82.73113019316905
Managers And Proprietors In Other Services,Outsourced,9,10.6140938797941,17.091267935625414,14.941744624223459,59,61.46374371063672,17.268869806830946
"Managers In Logistics, Warehousing And Transport",Not outsourced,33,32.91784274383862,20.36545197817873,20.056998910489288,39,40.98056062391578,80.32550614895236
"Managers In Logistics, Warehousing And Transport",Outsourced,6,8.06271788007716,18.827164733794568,15.108347145613795,39,40.98056062391578,19.674493851047643
Media Professionals,Not outsourced,22,17.83715259969291,19.693072820320435,19.58803170125973,24,19.172463762997978,93.03526568201339
Media Professionals,Outsourced,2,1.3353111633050674,20.802946593001842,21.281021131309192,24,19.172463762997978,6.964734317986611
Medical Practitioners,Not outsourced,18,18.629917661282803,30.437871409234322,30.22828428655553,21,21.45044526421415,86.85096011672616
Medical Practitioners,Outsourced,3,2.8205276029313464,15.885845657429144,15.932469272200072,21,21.45044526421415,13.149039883273856
