SectorName,SectorName_labelled,MajorsubgroupOccupation_labelled,outsourcing_status,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
1,Accommodation And Food Service Activities,Administrative Occupations,Not outsourced,14,14.197207860075606,498.8643339472069,490.05886113623234,19,18.541837861158054,76.56850397670829
1,Accommodation And Food Service Activities,Administrative Occupations,Outsourced,5,4.344630001082449,555.1292203806015,549.1943557471441,19,18.541837861158054,23.431496023291725
1,Accommodation And Food Service Activities,Business And Public Service Associate Professionals,Not outsourced,4,4.613251210618015,535.306069674647,559.5838135813633,5,5.373499388215649,85.85189794075539
1,Accommodation And Food Service Activities,Business And Public Service Associate Professionals,Outsourced,1,0.760248177597634,934.622467771639,934.6224677716391,5,5.373499388215649,14.148102059244597
1,Accommodation And Food Service Activities,"Business, Media And Public Service Professionals",Not outsourced,3,3.323012751331439,480.0716185799059,506.04096444426756,4,4.398137788234067,75.55499421189553
1,Accommodation And Food Service Activities,"Business, Media And Public Service Professionals",Outsourced,1,1.0751250369026277,644.5672191528545,644.5672191528545,4,4.398137788234067,24.445005788104478
1,Accommodation And Food Service Activities,Caring Personal Service Occupations,Not outsourced,3,2.5890492817960085,283.609576427256,269.82317147448833,4,3.2185157342886788,80.44233726165741
1,Accommodation And Food Service Activities,Caring Personal Service Occupations,Outsourced,1,0.6294664524926704,386.7403314917127,386.7403314917127,4,3.2185157342886788,19.557662738342593
1,Accommodation And Food Service Activities,Corporate Managers And Directors,Not outsourced,33,33.027966346140744,605.4942091262533,584.0952633645259,34,34.67016954752683,95.26335399330854
1,Accommodation And Food Service Activities,Corporate Managers And Directors,Outsourced,1,1.6422032013860899,309.3922651933702,309.3922651933702,34,34.67016954752683,4.736646006691465
1,Accommodation And Food Service Activities,Customer Service Occupations,Not outsourced,10,10.04194632096613,444.5623081645181,395.7098431154929,10,10.04194632096613,100
1,Accommodation And Food Service Activities,Elementary Administration And Service Occupations,Not outsourced,117,142.8267735884749,310.8286877797191,320.5968825010682,154,195.8931907890649,72.9105350794295
1,Accommodation And Food Service Activities,Elementary Administration And Service Occupations,Outsourced,37,53.06641720059,291.09635657757207,277.0672146951746,154,195.8931907890649,27.08946492057051
1,Accommodation And Food Service Activities,Health And Social Care Associate Professionals,Not outsourced,1,2.3230435895352732,295.10349907918965,295.10349907918965,1,2.3230435895352732,100
1,Accommodation And Food Service Activities,"Leisure, Travel And Related Personal Service Occupations",Not outsourced,32,34.99687202675379,304.1579615561694,282.9612297343609,34,36.776049096097346,95.16213102529179
1,Accommodation And Food Service Activities,"Leisure, Travel And Related Personal Service Occupations",Outsourced,2,1.7791770693435534,368.47759361571514,418.1090141519782,34,36.776049096097346,4.837868974708212
1,Accommodation And Food Service Activities,NA,Not outsourced,1,0.5779883482764481,644.5672191528545,644.5672191528545,1,0.5779883482764481,100
1,Accommodation And Food Service Activities,Other Managers And Proprietors,Not outsourced,39,43.57971573544534,476.2292683886606,477.3978894297354,43,47.92819871104526,90.92708866065146
1,Accommodation And Food Service Activities,Other Managers And Proprietors,Outsourced,4,4.3484829755999215,500.37292817679554,507.4832576462924,43,47.92819871104526,9.07291133934853
1,Accommodation And Food Service Activities,"Process, Plant And Machine Operatives",Not outsourced,5,5.173089411546158,424.26918845917743,405.39052458416563,5,5.173089411546158,100
1,Accommodation And Food Service Activities,Sales Occupations,Not outsourced,31,34.236602615598045,259.18087486880927,260.13050482173736,39,41.57439630371276,82.35020988757107
1,Accommodation And Food Service Activities,Sales Occupations,Outsourced,8,7.337793688114712,341.7138083179865,351.19065822316725,39,41.57439630371276,17.649790112428928
