UnitOccupation_labelled,outsourcing_status,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
Legal Professionals,Not outsourced,37,30.567758631380162,820.2872679309143,824.8234748757402,41,33.73024546671438,90.62418078618782
Legal Professionals,Outsourced,4,3.162486835334221,755.561694290976,746.2892542556605,41,33.73024546671438,9.375819213812186
Leisure And Travel Services,Not outsourced,42,44.655072342796466,556.5331037153966,567.0769833706564,45,49.54955698090099,90.1220415754855
Leisure And Travel Services,Outsourced,3,4.8944846381045215,355.64739103744625,429.7622104960575,45,49.54955698090099,9.8779584245145
Librarians And Related Professionals,Not outsourced,12,9.583148005392314,569.7034581542869,582.4060868669121,13,10.658273042294942,89.91276511085579
Librarians And Related Professionals,Outsourced,1,1.0751250369026277,623.0816451810927,623.0816451810927,13,10.658273042294942,10.087234889144213
Managers And Directors In Retail And Wholesale,Not outsourced,73,81.84389495895267,604.4182167394065,589.1715489780896,89,98.01720196928315,83.49952183352582
Managers And Directors In Retail And Wholesale,Outsourced,16,16.173307010330475,633.5692564456722,593.0733612273649,89,98.01720196928315,16.50047816647419
Managers And Proprietors In Agriculture Related Services,Not outsourced,2,1.6059869576801433,869.9562615101288,876.4940210886342,4,2.721650291553327,59.007836630016065
Managers And Proprietors In Agriculture Related Services,Outsourced,2,1.1156633338731838,450.21639042357276,445.9548862352082,4,2.721650291553327,40.99216336998393
Managers And Proprietors In Health And Care Services,Not outsourced,24,17.619815373961867,532.80865050133,537.8615800218366,29,21.93406593674376,80.33082158490872
Managers And Proprietors In Health And Care Services,Outsourced,5,4.3142505627818934,790.671270718232,800.7985141143482,29,21.93406593674376,19.669178415091285
Managers And Proprietors In Hospitality And Leisure Services,Not outsourced,53,55.40590467701732,496.3527520066715,489.2343505212196,60,63.39185346755424,87.40224752282349
Managers And Proprietors In Hospitality And Leisure Services,Outsourced,7,7.985948790536921,464.975445058318,424.15052743365663,60,63.39185346755424,12.597752477176517
Managers And Proprietors In Other Services,Not outsourced,50,50.84964983084262,693.7350276243094,669.8686561852579,59,61.46374371063672,82.73113019316905
Managers And Proprietors In Other Services,Outsourced,9,10.6140938797941,661.2838483050269,569.4341851269917,59,61.46374371063672,17.268869806830946
"Managers In Logistics, Warehousing And Transport",Not outsourced,33,32.91784274383862,762.8944137507673,747.1953444375314,39,40.98056062391578,80.32550614895236
"Managers In Logistics, Warehousing And Transport",Outsourced,6,8.06271788007716,680.8133824432167,546.7568032666961,39,40.98056062391578,19.674493851047643
