variable,Estimate,or,Std. Error,t value,Pr(>|t|)
(Intercept),-1.722706330319742,0.18,0.030158100585053235,-57.12250761487077,0
BORNUK_binaryNot born in UK,0.6635429641806041,1.94,0.06462891833298996,10.266966882561878,1.309446317374461e-24
