outsourcing_group,mean,median,min,max,stdev,N
Not outsourced,42.80281500375411,43,16,80,13.082220895286664,8472
Outsourced,38.40056818813772,35,16,78,13.093915258462903,1123
Likely agency,39.80097287404937,38,18,77,13.48995916435559,269
High indicators,38.48800007838057,35,18,72,12.547084173081991,291
