outsourcing_group,Sum,n,Proportion,Percentage,N
Not outsourced,8446.644209397018,8472,0.8317719556274752,83.17719556274751,10155
Outsourced,1161.0778077787868,1123,0.11433557929874798,11.433557929874798,10155
Likely agency,266.5369198185459,269,0.026246865565587956,2.6246865565587956,10155
High indicators,280.74106300565774,291,0.02764559950818882,2.764559950818882,10155
