predicted_group,(Intercept),Ethnicity_collapsedArab/British Arab,Ethnicity_collapsedAsian/Asian British,Ethnicity_collapsedBlack/African/Caribbean/Black British,Ethnicity_collapsedMixed/Multiple ethnic group,Ethnicity_collapsedOther ethnic group,Ethnicity_collapsedPrefer not to say,Ethnicity_collapsedWhite other,(Intercept)_or,Ethnicity_collapsedArab/British Arab_or,Ethnicity_collapsedAsian/Asian British_or,Ethnicity_collapsedBlack/African/Caribbean/Black British_or,Ethnicity_collapsedMixed/Multiple ethnic group_or,Ethnicity_collapsedOther ethnic group_or,Ethnicity_collapsedPrefer not to say_or,Ethnicity_collapsedWhite other_or,(Intercept)_p,Ethnicity_collapsedArab/British Arab_p,Ethnicity_collapsedAsian/Asian British_p,Ethnicity_collapsedBlack/African/Caribbean/Black British_p,Ethnicity_collapsedMixed/Multiple ethnic group_p,Ethnicity_collapsedOther ethnic group_p,Ethnicity_collapsedPrefer not to say_p,Ethnicity_collapsedWhite other_p
Outsourced,-2.1362225285017127,0.7211310158457949,0.6153743525022295,0.8644298378298391,0.6180622832913162,0.22694887357049373,0.391265634016061,0.37843305094776286,0.11810012132148874,2.056758121667022,1.8503491527560605,2.3736523333189363,1.8553294535677152,1.254765714609473,1.4788512944513375,1.4599950582405394,0,0.15033010590557483,1.2975946983573294e-9,1.6044974238127452e-9,0.0023504215646215076,0.6213355521170072,0.010460916061173497,0.0023536682210181237
Likely agency,-3.6322318800304494,1.843193726355958,0.7159156455482768,1.0101750716487479,0.8310747666542511,1.5706212088916107,0.22001237964840067,0.08797907263708737,0.0264570694597046,6.316679827427787,2.0460592898855983,2.746081733992323,2.295784847781462,4.809635054008011,1.2460921566746703,1.0919652698355904,0,0.0017536561911974946,1.8961750468471372e-4,1.0218504337244916e-4,0.021642379912454768,0.001528024143386375,0.5031924711026914,0.7549351987494903
High indicators,-3.543245824186083,1.8137486450974745,0.9014455088894194,0.5838488659875173,0.4107432702535571,0.4060602365543312,0.14153916710986486,-0.21028473118495114,0.0289193075913478,6.133396317780682,2.463161060222545,1.792925899287838,1.5079381742744469,1.500892958355354,1.1520456256747553,0.8103534802119923,0,0.0015819252698523467,1.3679573851455018e-7,0.051884217960656454,0.3286166511769568,0.6160905983251881,0.6644651070187932,0.49643141324244455
