outsourcing_group,Sum,Proportion,Percentage
Not outsourced,8446.644209397018,0.8317719556274752,83.17719556274751
Outsourced,1161.0778077787868,0.11433557929874798,11.433557929874798
Likely agency,266.5369198185459,0.026246865565587956,2.6246865565587956
High indicators,280.74106300565774,0.02764559950818882,2.764559950818882
