outsourcing_group,n,mean,median,min,max,stdev
Not outsourced,6924,575.4113330921929,539.7320457323874,42.9711479435236,1423.41927562922,287.1682027688612
Outsourced,897,508.7968298979961,476.24352597016036,51.5653775322284,1418.04788213628,274.66871100772283
Likely agency,231,538.8821356592025,489.871086556169,68.64,1414.7534860800163,294.41465894061423
High indicators,239,599.9098611479608,555.6246322951049,99.7790055248619,1396.56230816452,271.34454472012783
