number_of_groups,total,n,wtd_percentage,percentage
1,1258.201896226263,1229,73.02436125965538,73.64987452538567
2,378.8945662822365,376,22.341057635175282,22.17890256622128
3,71.25932809449104,78,4.634581105169341,4.171222908393044
