Region,Outsourcing group,Frequency,Sum,Percentage,Employed,Weight,Weighted_percentage
East Midlands,Not outsourced,587.6851976793662,728.184477544142,80.70553764911051,2359055655.065366,0.07111076559406392,5.739032569908797
East Midlands,Outsourced,140.49927986477584,728.184477544142,19.294462350889493,2359055655.065366,0.07111076559406392,1.3720439894975942
London,Not outsourced,1073.7007803977283,1431.0519230974026,75.02877869544979,4829298850.950931,0.1455731397588152,10.922174886965928
London,Outsourced,357.35114269967426,1431.0519230974026,24.971221304550223,4829298850.950931,0.1455731397588152,3.6351390889155932
North East,Not outsourced,333.87751869720705,386.9397243842402,86.28669988033042,1215820683.64687,0.03664938529686002,3.162354509908755
North East,Outsourced,53.062205687033135,386.9397243842402,13.713300119669574,1215820683.64687,0.03664938529686002,0.5025840197772469
North West,Not outsourced,906.4302313680552,1095.8237150308473,82.71679275918383,3583507881.3363895,0.10802033788691254,8.935095902768758
North West,Outsourced,189.3934836627922,1095.8237150308473,17.28320724081617,3583507881.3363895,0.10802033788691254,1.866937885922496
Northern Ireland,Not outsourced,231.65959083885704,275.2232579464517,84.17151681415291,873773187.3490844,0.02633879373491813,2.2169762197231666
Northern Ireland,Outsourced,43.563667107594696,275.2232579464517,15.828483185847098,873773187.3490844,0.02633879373491813,0.4169031537686465
Scotland,Not outsourced,727.2765680368493,853.0980239629827,85.25123111390621,2650815532.672706,0.07990550014038113,6.812042259739897
Scotland,Outsourced,125.82145592613338,853.0980239629827,14.748768886093796,2650815532.672706,0.07990550014038113,1.1785077542982165
South East,Not outsourced,1232.337462995117,1420.8113881384952,86.73476812497181,4753437757.600721,0.14328640251488756,12.427912897590149
South East,Outsourced,188.47392514337832,1420.8113881384952,13.265231875028203,4753437757.600721,0.14328640251488756,1.9007273538986076
South West,Not outsourced,717.356865677544,837.8587112382411,85.61787996658627,2802120872.5164905,0.08446640930403687,7.231834893001575
South West,Outsourced,120.50184556069715,837.8587112382411,14.38212003341373,2802120872.5164905,0.08446640930403687,1.2148060374021126
Wales,Not outsourced,377.8289667769318,461.07814596922685,81.9446703514221,1436559071.4812205,0.04330326636202088,3.5484718871756264
Wales,Outsourced,83.24917919229503,461.07814596922685,18.055329648577885,1436559071.4812205,0.04330326636202088,0.781854749026461
West Midlands,Not outsourced,718.0284628831192,879.5147520742296,81.63916082018359,2882955039.987694,0.08690305361240389,7.094692369628078
West Midlands,Outsourced,161.48628919111036,879.5147520742296,18.360839179816416,2882955039.987694,0.08690305361240389,1.5956129916123118
