ID,Sex,Age,Agegender_recode_useforquota,Region,Employment_Status,Is_an_employee,Consent_1_Ethnicity,Consent_2_TU,Consent_3_Health,Ethnicity,Has_Degree,TradeUnion,D6_Children_2,D6_Children_3,D6_Children_4,D6_Children_5,D6_Children_6,D6_Children_7,D6_Children_8,Has_Second_Job,Who_Pays_You,Job_Security,Work_Circumstance_Agency,Work_Circumstance_Contract,Work_Circumstance_Seasonal,Work_Circumstance_Trainee,Work_Circumstance_Other,Work_Circumstance_Other_TEXT,Org_Size,Is_Supervisor,Job_Title_TEXT,Main_Activity_TEXT,Employer_Activity_TEXT,Employer_Activity_SIC,Biz_Type,Non_Private_Biz_Type,Non_Private_Biz_Type_TEXT,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q2,Q2_3_other,Q3v3a,Q3v3b,Q3v3c,Q3v3d,D7_Disability1,D8_Disability2,INCOME_FREQ,INCOME_OPEN_1,INCOME_OPEN_2,INCOME_CLOSED_ANNUAL,INCOME_CLOSED_MONTHLY,INCOME_CLOSED_WEEKLY,INCOME_CLOSED_HOURLY,HOURS,BORNUK,NatRepemployees,NatRepemployeesGraduate,unit_code,UnitOccupation,smg_code,MajorsubgroupOccupation,major_code,Majorgroupcode,SectorCode,SectorName,sum_true,outsourced,likely_agency,high_indicators,outsourcing_group,outsourcing_status
ea307b44-e756-4c39-85f0-f89aaff7588b,2,5,6,7,3,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,3,NA,NA,NA,NA,NA,,3,2,GP Receptionist,I complete admin tasks like answering phone and using the booking systems.,Medical Practice,17,2,6,,2,2,2,2,2,2,1,,3,NA,NA,3,1,3,4,9.8,NA,NA,NA,NA,NA,8.5,1,1.122157759495573,1.1269774032203224,421,88,42,21,4,1,18,11,0,0,0,0,not_outsourced,Not outsourced
d8f31bc3-c4e5-449b-b678-8ab2c3cd8144,2,4,6,4,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,,8,2,Teaching assistant,Look after children,Primary education,16,2,4,,2,2,1,2,2,1,2,,2,NA,3,NA,3,NA,2,1300,NA,NA,NA,NA,NA,25,1,1.1459743738809554,1.1209894133428977,611,94,61,4,6,3,17,8,2,0,0,0,not_outsourced,Not outsourced
0fd3e94f-6cae-4763-89ab-8a6b7307db06,2,53,10,9,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,NA,NA,NA,NA,NA,,9,2,Accredited pharmacy technician,Check and dispense medication,General hospital,17,2,6,,2,2,1,2,2,2,1,,3,NA,NA,3,2,NA,2,NA,0,NA,3,NA,NA,16,1,1.0219596233728818,1.0171359166190523,321,43,32,11,3,2,18,11,1,0,0,0,not_outsourced,Not outsourced
5b4a789f-6c15-4abd-bd02-08fe3fe41a7a,1,19,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,,8,1,Retail Flight manager,I ensure everyone come on time and arranges were pilots and flight attendance need to go and which terminals people go to,Its an airport,8,2,3,,1,2,2,2,2,1,1,,1,2,NA,NA,1,3,2,6800,NA,NA,NA,NA,NA,42.5,1,0.5915309834562463,0.5807337884446427,621,50,62,13,6,3,8,21,2,1,0,0,outsourced,Outsourced
201925db-6a7d-42fe-8c1c-d64084b7224f,4,24,11,10,2,1,2,2,2,NA,1,NA,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,,5,2,cleaber,claeb,cleaning company,21,1,NA,,1,2,1,2,1,1,2,,2,NA,2,NA,NA,NA,2,NA,0,NA,12,NA,NA,20,10,1.1625950182929352,1.2393825954913116,922,30,92,9,9,4,14,4,4,0,0,0,not_outsourced,Not outsourced
e22fd1c5-b56c-4961-856d-c9381415fd00,1,38,4,8,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,NA,NA,NA,NA,NA,,9,1,Driver trainer,Drive and train other drivers,Fuel,8,1,NA,,2,1,2,2,1,1,1,,3,NA,NA,3,1,4,1,36000,NA,NA,NA,NA,NA,40,1,0.6743998904230857,1.0781852671510128,821,83,82,27,8,7,8,21,3,0,0,0,not_outsourced,Not outsourced
6e88ff16-7bcb-41ee-bab5-5b2c21cd42cd,2,25,8,4,1,1,1,1,1,1,2,2,1,2,2,1,1,1,2,2,1,1,NA,NA,NA,NA,NA,,8,2,Health care assistant,Care for people,Care for people,17,1,NA,,2,2,2,2,2,2,1,,2,NA,3,NA,2,NA,2,1800,NA,NA,NA,NA,NA,36,1,0.5981020215523755,1,613,15,61,4,6,3,18,11,0,1,0,0,outsourced,Outsourced
2d58da45-b2b4-4ea2-983d-dcbbd0347d3e,1,29,3,6,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,NA,NA,NA,NA,NA,,7,2,Driver,Delivery,Plastics,3,1,NA,,2,2,2,2,2,2,1,,3,NA,NA,3,2,NA,1,42000,NA,NA,NA,NA,NA,40,1,0.8118005760186879,1.3194785059361587,821,83,82,27,8,7,3,13,0,0,0,0,not_outsourced,Not outsourced
cc7b65af-231b-4164-add3-44f39445dcd5,1,46,4,4,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,NA,NA,NA,NA,NA,,7,2,Office Admin,Administration,Tax Credits,15,2,3,,1,2,2,2,2,2,3,Tax Credit office,3,NA,NA,3,1,2,2,1400,NA,NA,NA,NA,NA,18.3,1,0.6370296541284283,0.995296936940035,415,67,41,1,4,1,16,19,1,0,0,0,not_outsourced,Not outsourced
323346a5-3da6-41f1-9bb9-112fcd6caf54,2,13,7,4,1,1,1,1,1,5,2,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,,7,2,Warehouse operative,Driver,Cosmetics,21,2,9,Big Company,2,2,1,2,2,2,1,,2,NA,1,NA,2,NA,1,NA,0,4,NA,NA,NA,37.5,5,1.1459743738809554,1.1209894133428977,925,35,92,9,9,4,20,17,1,1,0,0,outsourced,Outsourced
