outsourcing_group,n,mean,median,min,max,stdev
Not outsourced,6925,27106.725259868377,25200.5,2000,66669,13309.129759805071
Outsourced,896,24120.18222298881,23000,2400,66000,12808.781235208775
Likely agency,231,25639.329168770306,23095.96932769583,3569.28,65846.66939498132,13754.825440790954
High indicators,239,28286.453549808233,27000,4644,65000,12631.885274262539
