outsourcing_status,n,mean,median,min,max,stdev
Not outsourced,6924,26781.287474490917,25120.671499944565,2000,66250,13365.62863744214
Outsourced,1367,24611.375192065247,23061.9857142857,2400,66108,12998.561507178223
