"","Job_Title_TEXT","Main_Activity_TEXT","Employer_Activity_TEXT","Employer_Activity_SIC","INCOME_OPEN_1","INCOME_CLOSED_ANNUAL"
"124","packer","pack","auto parts sales","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",1643,NA
"125","Account Handler","Insurance","Insurance","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)",15900,NA
"126","Hgv driver","Delivery of fuel","Transportation","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",55000,NA
"127","Accounts Administrator","Manage accounts","Real estate","Real Estate Activities  (buying, selling, renting of real estate properties or property management)",22000,NA
"128","Hgv driver","Driving","Food retail","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",2500,NA
"129","Director","Manage","Legal services","Professional, Scientific, and Technical Activities  (includes services such as legal, accounting, consulting, architectu",NA,NA
"130","Hgv driver","Drive","Retail","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",750,NA
"131","manager","manage pepople","General Hospital","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)",26000,NA
"132","Retail assistant","Sales","Petrol station","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",1200,NA
"133","Sales associate","Sales","Tools","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",NA,NA
"134","Electrical Engineering","Work on everything that is electrical","Electrical Engineering","Professional, Scientific, and Technical Activities  (includes services such as legal, accounting, consulting, architectu",NA,NA
"135","Associate","marketing","advertisement","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",NA,NA
"136","Performance analyst","Analyse the performance of the business across our goals","Hospital appliances","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)",1800,NA
"137","operation","electronic","electronical","I’m not sure",NA,NA
"138","Post","Deliver","Parcels","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",350,NA
"139","Warehouse nanager","Stock check","Retail","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",NA,"Prefer not to say"
"140","Airport Baggage handler","Move luggage to and from aircraft","Handling Luggage","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",1600,NA
"141","Assistant client Manager","Accountancy","Accountancy","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)",500,NA
"142","Customer Experience Coordinator","Customer service","Hardware retail","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",NA,NA
"143","HR Director","Recruitment planning, salary management, benefit management","Transportation","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",NA,NA
"144","Senior analyst","Review procedures","Finance","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)",2400,NA
"145","Team support","Team support","Retail","I’m not sure",NA,NA
"146","Crew member","Take payment","Food","Accommodation and Food Service Activities  (such as hotels, restaurants, and catering services)",1200,NA
"147","Clinical pharmacist","Pharmacy","Nhs","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",NA,NA
"148","Security","Security","Electricity Distribution","Electricity, Gas, Steam, and Air Conditioning Supply  (involves the production and distribution of electricity, gas, ste",NA,NA
"149","Catering","Crew member","Food","Accommodation and Food Service Activities  (such as hotels, restaurants, and catering services)",NA,NA
"150","Retail Assistant","Retail","Food retail","Construction  (includes building, renovating, and demolishing structures; including buildings, roads, or similar project",NA,NA
"151","Electrical Engineer","Maintenance","Clothing retail","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",42000,NA
"152","Bartender","Food and drinks","Serve people and basic customer services","Accommodation and Food Service Activities  (such as hotels, restaurants, and catering services)",300,NA
"153","Manager","Accounting","Work with diff businesses","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)",42999,NA
"154","Retail Assistant","Assist sales manager","Food Wholesale","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",NA,NA
"155","Finance manager","Responsible fir day to day account administration","Financing","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam",65000,NA
"156","Civil servant","Admin","Retail","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",NA,NA
"157","Bus driver/supervisor","Drive a bus","Transport","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",NA,NA
"158","Facilities Engineering Manager","Engineering","Food","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",60000,NA
"159","Retail assistant","Customer service","Clothing retailer","I’m not sure",1300,NA
"160","teacher","My day job consists of giving lectures to others.","My company is responsible for recruiting students.","Education  (schools, colleges, or training centres)",5000,NA
"161","Retail supervisor","Serve customers do stock take and delivery train staff deal with complaints","Petrol station and retail","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",1420,NA
"162","Manager","Manage staff","Leisure","Activities of extraterritorial organisations and bodies  (organisations such as the International monetary Fund, the Wor",25000,NA
"163","House keeper assistant","Cleaning and feeding","Look after elderly","I’m not sure",NA,"Prefer not to say"
"164","Service engineer","Service","Water industry","Water Supply, Sewerage, Waste Management, and Remediation Activities  (provides or manages water supply, sewage systems,",3670,NA
"165","Customer assistant","Retail","Groceries","I’m not sure",10000,NA
"166","Office Manager","Admin","Charity","I’m not sure",NA,"£11,201 up to £16,800"
"167","PDA","Discharge patients","Hospital","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",23000,NA
