"","Job_Title_TEXT","Main_Activity_TEXT","Employer_Activity_TEXT","Employer_Activity_SIC","INCOME_OPEN_1","INCOME_CLOSED_ANNUAL"
"216","Reception Supervisor","Provide a point of contact for receptionists and ensuring that the day-to-day running of the site is smooth and operable for customers","Leisure","Arts, Entertainment, and Recreation  (includes theatres, libraries, museums, amusement parks, sports facilities, or othe",2300,NA
"217","Cashier","Serve customers","Petrol","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",NA,NA
"218","Engineer","Maintenance","Retail","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",35000,NA
"219","Secondary school teacher","Teatching","Education","Education  (schools, colleges, or training centres)",2500,NA
"220","retail assistant","post office  and shop","food wholesale","I’m not sure",900,NA
"221","Engineer","Maintenance","Food manufacturing","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",5000,NA
"222","Driver","Bus Driving","Transportation","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",16,NA
"223","Supervisor","Team leading","Retail","I’m not sure",2650,NA
"224","Chief operating","Deal with the ins and outs","Financial company","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)",2300,NA
"225","Hgv","Drive","Transport","Other Service Activities  (other services not listed, including the activities of membership organisations, the repair o",550,NA
"226","SecuritySupervisor","Security and Maintenance for Two Office Buildings and Car Parking","Security","Administrative and Support Service Activities  (provides administrative support or various services to other businesses.",2400,NA
"227","Manager","Manage the clearing staff","Services","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",45000,NA
"228","Supervisor","Cleaning","Cleaning","Administrative and Support Service Activities  (provides administrative support or various services to other businesses.",1700,NA
"229","Retail Assistant","Sales data statistics and organization","Food Wholesale","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",NA,NA
"230","devops engineer","computing","services","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam",70000,NA
"231","Driver","Drive","Services","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",10000,NA
"232","Accountant","Accountancy","Finance","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)",2000,NA
"233","Forfillment assiout","Pack items","Retail","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",349,NA
"234","Specialist nurse","Care for patients","Heath care","Human Health and Social Work Activities (hospitals, medical practices, residential and non-residential care, including f",30000,NA
"235","Business analyst","Analyze","Education","Education  (schools, colleges, or training centres)",NA,"£44,801 up to £50,400"
"236","HCA","Patient care","Health care","Professional, Scientific, and Technical Activities  (includes services such as legal, accounting, consulting, architectu",23000,NA
"237","Senior Test engineer","I validate the prototype products","Electric motor manufacturer","Professional, Scientific, and Technical Activities  (includes services such as legal, accounting, consulting, architectu",45000,NA
"238","Civil servant","IT related","Financial services","Financial and Insurance Activities  (banking, insurance, investment services, or other financial institutions)",30000,NA
"239","Catering assistant","Cook","Private Education","Education  (schools, colleges, or training centres)",46000,NA
"240","Primary school teacher","Technology teaching","Education","Education  (schools, colleges, or training centres)",NA,NA
"241","Cleaner","Clean flour mill","Food wholesale","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",1895.3,NA
"242","Assistant manager","Sales","Plumbing","Wholesale and Retail Trade; including Repair of Motor Vehicles and Motorcycles  (includes selling goods and services dir",32000,NA
"243","Site Administrator","Site  administration.","Warehousing.","Transportation and Storage  (involves transporting goods or offering storage services, including postal and courier acti",25300,NA
"244","information tecnology softwore","softwore devlopment","seles good servicce and softwore","Information and Communication  (covers the production and/or distribution of information and cultural products, for exam",80000,NA
"245","Web developer and manager","Develop team to create new websites and design them appropriately","Create websites","Professional, Scientific, and Technical Activities  (includes services such as legal, accounting, consulting, architectu",36000,NA
"246","IT PROJECT MANAGER","IT management","Construction","Construction  (includes building, renovating, and demolishing structures; including buildings, roads, or similar project",2600,NA
"247","Security","CCTV","Business","Real Estate Activities  (buying, selling, renting of real estate properties or property management)",NA,NA
"248","Team leader","Engineering","Gas/petroleum  fittings","Manufacturing  (factories creating items such as electronics, machinery, food products, textiles, or other goods from ra",NA,NA
"249","Operations","Education","Support young people","Activities of extraterritorial organisations and bodies  (organisations such as the International monetary Fund, the Wor",40000,NA
