SectorName,SectorName_labelled,MajorsubgroupOccupation_labelled,outsourcing_status,n,Frequency,avg_income,wtd_avg_income,N,Sum,perc
1,Accommodation And Food Service Activities,Administrative Occupations,Not outsourced,14,14.197207860075606,13.79537039351794,13.905363444760372,19,18.541837861158054,76.56850397670829
1,Accommodation And Food Service Activities,Administrative Occupations,Outsourced,5,4.344630001082449,14.302281908980804,14.736123499699982,19,18.541837861158054,23.431496023291725
1,Accommodation And Food Service Activities,Business And Public Service Associate Professionals,Not outsourced,4,4.613251210618015,15.45774171270718,15.691370360843601,5,5.373499388215649,85.85189794075539
1,Accommodation And Food Service Activities,Business And Public Service Associate Professionals,Outsourced,1,0.760248177597634,23.365561694290975,23.365561694290975,5,5.373499388215649,14.148102059244597
1,Accommodation And Food Service Activities,"Business, Media And Public Service Professionals",Not outsourced,3,3.323012751331439,12.661005388445535,13.287476245260686,4,4.398137788234067,75.55499421189553
1,Accommodation And Food Service Activities,"Business, Media And Public Service Professionals",Outsourced,1,1.0751250369026277,17.188459177409452,17.188459177409452,4,4.398137788234067,24.445005788104478
1,Accommodation And Food Service Activities,Caring Personal Service Occupations,Not outsourced,3,2.5890492817960085,11.598117454471046,11.945188487117044,4,3.2185157342886788,80.44233726165741
1,Accommodation And Food Service Activities,Caring Personal Service Occupations,Outsourced,1,0.6294664524926704,9.668508287292818,9.668508287292818,4,3.2185157342886788,19.557662738342593
1,Accommodation And Food Service Activities,Corporate Managers And Directors,Not outsourced,33,33.027966346140744,17.18438482992393,16.20269842879938,34,34.67016954752683,95.26335399330854
1,Accommodation And Food Service Activities,Corporate Managers And Directors,Outsourced,1,1.6422032013860899,7.734806629834255,7.734806629834255,34,34.67016954752683,4.736646006691465
1,Accommodation And Food Service Activities,Customer Service Occupations,Not outsourced,10,10.04194632096613,14.490943397711353,12.670601443561432,10,10.04194632096613,100
1,Accommodation And Food Service Activities,Elementary Administration And Service Occupations,Not outsourced,117,142.8267735884749,11.345352117386575,11.516644190950863,154,195.8931907890649,72.9105350794295
1,Accommodation And Food Service Activities,Elementary Administration And Service Occupations,Outsourced,37,53.06641720059,10.795365273212358,10.814897385847324,154,195.8931907890649,27.08946492057051
1,Accommodation And Food Service Activities,Health And Social Care Associate Professionals,Not outsourced,1,2.3230435895352732,14.052547575199506,14.052547575199506,1,2.3230435895352732,100
1,Accommodation And Food Service Activities,"Leisure, Travel And Related Personal Service Occupations",Not outsourced,32,34.99687202675379,11.141075130675242,10.777923729458333,34,36.776049096097346,95.16213102529179
1,Accommodation And Food Service Activities,"Leisure, Travel And Related Personal Service Occupations",Outsourced,2,1.7791770693435534,13.014119091467158,13.52774009139249,34,36.776049096097346,4.837868974708212
1,Accommodation And Food Service Activities,NA,Not outsourced,1,0.5779883482764481,16.527364593662934,16.527364593662934,1,0.5779883482764481,100
1,Accommodation And Food Service Activities,Other Managers And Proprietors,Not outsourced,39,43.57971573544534,13.400565453314847,13.226057046246542,43,47.92819871104526,90.92708866065146
1,Accommodation And Food Service Activities,Other Managers And Proprietors,Outsourced,4,4.3484829755999215,14.921500920810313,14.855427552500116,43,47.92819871104526,9.07291133934853
1,Accommodation And Food Service Activities,"Process, Plant And Machine Operatives",Not outsourced,5,5.173089411546158,11.771566758747698,11.091787159053506,5,5.173089411546158,100
1,Accommodation And Food Service Activities,Sales Occupations,Not outsourced,31,34.236602615598045,10.245584884309048,10.093443539822102,39,41.57439630371276,82.35020988757107
1,Accommodation And Food Service Activities,Sales Occupations,Outsourced,8,7.337793688114712,12.182919227201904,11.570980099558538,39,41.57439630371276,17.649790112428928
1,Accommodation And Food Service Activities,"Science, Engineering And Technology Associate Professionals",Not outsourced,1,0.7396020180116426,21.485573971761816,21.485573971761816,1,0.7396020180116426,100
1,Accommodation And Food Service Activities,"Science, Research, Engineering And Technology Professionals",Not outsourced,2,2.2651593408053228,22.73903340495191,22.787105074149054,3,2.8842196470251382,78.53629813324616
1,Accommodation And Food Service Activities,"Science, Research, Engineering And Technology Professionals",Outsourced,1,0.6190603062198153,27.93124616329036,27.93124616329036,3,2.8842196470251382,21.46370186675383
1,Accommodation And Food Service Activities,Secretarial And Related Occupations,Not outsourced,9,9.152055821684622,13.111901428422703,12.614648785860977,9,9.152055821684622,100
1,Accommodation And Food Service Activities,Skilled Agricultural And Related Trades,Not outsourced,2,1.8206141041959811,16.019945505261003,16.019945505261006,2,1.8206141041959811,100
1,Accommodation And Food Service Activities,Skilled Construction And Building Trades,Not outsourced,2,1.3766316721400709,10.771255371393494,10.533244105356466,2,1.3766316721400709,100
1,Accommodation And Food Service Activities,"Textiles, Printing And Other Skilled Trades",Not outsourced,51,56.16333967634935,12.66728615968997,12.204165930412495,66,75.95381466794241,73.94406709114774
1,Accommodation And Food Service Activities,"Textiles, Printing And Other Skilled Trades",Outsourced,15,19.790474991593054,12.032081726556864,11.61472774525549,66,75.95381466794241,26.055932908852252
1,Accommodation And Food Service Activities,Transport And Mobile Machine Drivers And Operatives,Not outsourced,11,11.248059648013873,15.024481201442526,14.616300530457595,11,11.248059648013873,100
2,Activities Of Extraterritorial Organisations And Bodies,Administrative Occupations,Not outsourced,1,0.8549391738945257,20.324191594909827,20.324191594909827,1,0.8549391738945257,100
2,Activities Of Extraterritorial Organisations And Bodies,Business And Public Service Associate Professionals,Not outsourced,1,0.8151521032069263,14.426028238182933,14.426028238182933,1,0.8151521032069263,100
