outsourcing_status,n,mean,median,min,max,stdev
Not outsourced,6924,575.4113330921929,539.7320457323874,42.9711479435236,1423.41927562922,287.1682027688612
Outsourced,1367,528.7895222359016,495.5,51.5653775322284,1420.36832412523,279.28155478897344
