outsourcing_status,SectorName,SectorName_labelled,Frequency,avg_income,wtd_avg_income,Sum,perc,SectorName_short,SectorName_short_detail
Outsourced,12,INFORMATION AND COMMUNICATION,90.95650193818376,95950.57471264368,97333.03992109418,1708.3557906029905,5.324213049676219,Information and communication,NA
Outsourced,13,MANUFACTURING,124.42768132014209,73599.18444444444,61992.041700145244,1708.3557906029905,7.283475842946241,Manufacturing,NA
Outsourced,15,NA,12.737554627304183,31237.5,33214.62255128036,1708.3557906029905,0.7456031523040214,NA,NA
Outsourced,16,Not found,11.670041830449518,33021,30421.162657075758,1708.3557906029905,0.6831154197879586,Not found,NA
Outsourced,17,OTHER SERVICE ACTIVITIES,62.52594338522482,54297.037209302325,49283.89793536637,1708.3557906029905,3.660007109125396,Other service activities,NA
Outsourced,18,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",79.61469001207942,75539.28967741935,69683.0091164663,1708.3557906029905,4.6603108351321945,"Professional, scientific and technical activities",NA
Outsourced,19,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,75.34963731736657,76366.25103448276,80688.10545173367,1708.3557906029905,4.410652495916601,Public administration and defence, Compulsory social security
Outsourced,20,REAL ESTATE ACTIVITIES,16.512977438246125,27704.636363636364,27557.001557616208,1708.3557906029905,0.966600606798518,Real estate activities,NA
Outsourced,21,TRANSPORTATION AND STORAGE,98.8764545459442,50918.1240625,40399.44489636397,1708.3557906029905,5.787813937226989,Transportation and storage,NA
Outsourced,22,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",27.623265106311244,54523.82352941176,50316.51051703047,1708.3557906029905,1.6169503600044104,Water supply," Sewerage, waste management and remediation activities"
Outsourced,23,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,255.13346399873268,71777.35340782123,59181.02054112822,1708.3557906029905,14.934445471026816,Wholesale and retail trade, Repair of motor vehicles and motorcycles
