outsourcing_status,BORNUK_collapsed,n,Frequency,N,Sum,Percentage
Not outsourced,Born in UK,7320,7257.709357834247,8472,8446.644209397018,85.92417506777352
Not outsourced,Came to UK recently,115,98.77173055634292,8472,8446.644209397018,1.1693606136086316
Not outsourced,Came to UK not recently,950,994.0970426795267,8472,8446.644209397018,11.769135979157012
Not outsourced,Prefer not to say,87,96.06607832690065,8472,8446.644209397018,1.137328339460844
Outsourced,Born in UK,1278,1296.0976382934236,1683,1708.3557906029905,75.86813270530409
Outsourced,Came to UK recently,65,51.80404156419338,1683,1708.3557906029905,3.032391838348167
Outsourced,Came to UK not recently,306,333.78732218974363,1683,1708.3557906029905,19.53851323159845
Outsourced,Prefer not to say,34,26.666788555629783,1683,1708.3557906029905,1.5609622247492911
