outsourcing_status,Majorgroupcode_labelled,Frequency,avg_income,wtd_avg_income,Sum,perc
Not outsourced,Administrative and secretarial occupations,1189.7857709423702,35195.938242630386,36273.002209627535,8446.644209397018,14.08589898481477
Not outsourced,Associate professional occupations,1117.5131696650626,47793.00834065934,49043.32899923136,8446.644209397018,13.23026212494913
Not outsourced,"Caring, leisure and other service occupations",747.5745285866118,27471.807442748093,26146.875621395535,8446.644209397018,8.850550704561746
Not outsourced,Elementary occupations,746.6700505051484,31323.07611241218,32494.442404650104,8446.644209397018,8.839842569365794
Not outsourced,"Managers, directors and senior officials",934.9402923625056,67324.54881773399,62449.65010268503,8446.644209397018,11.068777957077563
Not outsourced,Na,34.880128444029175,32922.86363636364,30205.59743880284,8446.644209397018,0.4129465806695694
Not outsourced,"Process, plant and machine operatives",523.2291232787134,41264.80791277259,40421.391794345494,8446.644209397018,6.194520691384315
Not outsourced,Professional occupations,1682.9232997365605,52238.549589322385,52762.55606652537,8446.644209397018,19.924164650670182
Not outsourced,Sales and customer service occupations,1019.0109194934125,28381.1653250774,29300.588476910973,8446.644209397018,12.064091895332202
Not outsourced,Skilled trades occupations,449.28377113502927,37322.60072727273,38714.851560084004,8446.644209397018,5.319080098522373
Not outsourced,NA,0.8331552475741444,18000,18000,8446.644209397018,0.009863742652345256
Outsourced,Administrative and secretarial occupations,174.78399943406188,41482.45792,46547.081360903416,1708.3557906029905,10.23112400797782
Outsourced,Associate professional occupations,159.76708617271348,64721.406015037595,62125.23614740951,1708.3557906029905,9.352096738368605
Outsourced,"Caring, leisure and other service occupations",170.75656357307565,27412.584,29369.225742958362,1708.3557906029905,9.995374763988975
Outsourced,Elementary occupations,292.4415367697113,49510.80272727273,41461.15286625721,1708.3557906029905,17.118303949231183
Outsourced,"Managers, directors and senior officials",208.996059155466,143257.72658227847,132460.36396569404,1708.3557906029905,12.233754836379699
Outsourced,Na,4.9417085213773735,52500,47122.686516892405,1708.3557906029905,0.28926694009291365
Outsourced,"Process, plant and machine operatives",119.47377936701014,30318.465,28804.511576891433,1708.3557906029905,6.993495150377313
Outsourced,Professional occupations,300.2013680314877,70672.51100775193,70000.85488201432,1708.3557906029905,17.572532003156496
Outsourced,Sales and customer service occupations,187.39045834750115,64050.7631496063,54006.04547205204,1708.3557906029905,10.969053365713638
Outsourced,Skilled trades occupations,89.60323123058579,52338.91428571429,39336.195467164034,1708.3557906029905,5.244998244713353
