variable,Estimate,or,Std. Error,t value,Pr(>|t|)
(Intercept),-1.0312594379084163,0.357,0.030782649635593663,-33.50132136500627,6.93948459097911e-231
Ethnicity_binaryNon-White British,-0.10071948254795142,0.904,0.06844101504247177,-1.4716246169851355,0.14116024626893434
outsourcing_statusOutsourced,0.29703175549748345,1.346,0.0769350594456672,3.8608114120877772,1.1387029846219991e-4
Ethnicity_binaryNon-White British:outsourcing_statusOutsourced,-0.06715875958227313,0.935,0.14143547839370474,-0.4748367265766773,0.6349158663403015
