predicted_group,(Intercept),Ethnicity_collapsed_disaggregatedIrish,Ethnicity_collapsed_disaggregatedGypsy or Irish Traveller,Ethnicity_collapsed_disaggregatedRoma,Ethnicity_collapsed_disaggregatedAny other White background,Ethnicity_collapsed_disaggregatedWhite and Black Caribbean,Ethnicity_collapsed_disaggregatedWhite and Black African,Ethnicity_collapsed_disaggregatedWhite and Asian,Ethnicity_collapsed_disaggregatedAny other Mixed / Multiple ethnic background,Ethnicity_collapsed_disaggregatedIndian,Ethnicity_collapsed_disaggregatedPakistani,Ethnicity_collapsed_disaggregatedBangladeshi,Ethnicity_collapsed_disaggregatedChinese,Ethnicity_collapsed_disaggregatedAny other Asian background,Ethnicity_collapsed_disaggregatedAfrican,Ethnicity_collapsed_disaggregatedCaribbean,"Ethnicity_collapsed_disaggregatedAny other Black, Black British, or Caribbean background",Ethnicity_collapsed_disaggregatedArab,Ethnicity_collapsed_disaggregatedAny other ethnic group,Ethnicity_collapsed_disaggregatedDon’t think of myself as any of these,Ethnicity_collapsed_disaggregatedPrefer not to say,(Intercept)_or,Ethnicity_collapsed_disaggregatedIrish_or,Ethnicity_collapsed_disaggregatedGypsy or Irish Traveller_or,Ethnicity_collapsed_disaggregatedRoma_or,Ethnicity_collapsed_disaggregatedAny other White background_or,Ethnicity_collapsed_disaggregatedWhite and Black Caribbean_or,Ethnicity_collapsed_disaggregatedWhite and Black African_or,Ethnicity_collapsed_disaggregatedWhite and Asian_or,Ethnicity_collapsed_disaggregatedAny other Mixed / Multiple ethnic background_or,Ethnicity_collapsed_disaggregatedIndian_or,Ethnicity_collapsed_disaggregatedPakistani_or,Ethnicity_collapsed_disaggregatedBangladeshi_or,Ethnicity_collapsed_disaggregatedChinese_or,Ethnicity_collapsed_disaggregatedAny other Asian background_or,Ethnicity_collapsed_disaggregatedAfrican_or,Ethnicity_collapsed_disaggregatedCaribbean_or,"Ethnicity_collapsed_disaggregatedAny other Black, Black British, or Caribbean background_or",Ethnicity_collapsed_disaggregatedArab_or,Ethnicity_collapsed_disaggregatedAny other ethnic group_or,Ethnicity_collapsed_disaggregatedDon’t think of myself as any of these_or,Ethnicity_collapsed_disaggregatedPrefer not to say_or,(Intercept)_p,Ethnicity_collapsed_disaggregatedIrish_p,Ethnicity_collapsed_disaggregatedGypsy or Irish Traveller_p,Ethnicity_collapsed_disaggregatedRoma_p,Ethnicity_collapsed_disaggregatedAny other White background_p,Ethnicity_collapsed_disaggregatedWhite and Black Caribbean_p,Ethnicity_collapsed_disaggregatedWhite and Black African_p,Ethnicity_collapsed_disaggregatedWhite and Asian_p,Ethnicity_collapsed_disaggregatedAny other Mixed / Multiple ethnic background_p,Ethnicity_collapsed_disaggregatedIndian_p,Ethnicity_collapsed_disaggregatedPakistani_p,Ethnicity_collapsed_disaggregatedBangladeshi_p,Ethnicity_collapsed_disaggregatedChinese_p,Ethnicity_collapsed_disaggregatedAny other Asian background_p,Ethnicity_collapsed_disaggregatedAfrican_p,Ethnicity_collapsed_disaggregatedCaribbean_p,"Ethnicity_collapsed_disaggregatedAny other Black, Black British, or Caribbean background_p",Ethnicity_collapsed_disaggregatedArab_p,Ethnicity_collapsed_disaggregatedAny other ethnic group_p,Ethnicity_collapsed_disaggregatedDon’t think of myself as any of these_p,Ethnicity_collapsed_disaggregatedPrefer not to say_p
Outsourced,-2.1362335948841213,-0.03743960709201193,0.9253845239475023,0.8739758155716995,0.46202380043110824,-0.4836286782825134,1.5243254644052568,0.4165930906947816,0.9085457516196497,0.44838328770146696,1.0580440194895762,1.0446530198393553,-0.14232141575214816,0.7754322019095964,0.9338973220934915,0.4431863384503258,1.1408217367956297,0.7220817017033287,-0.5975199887418765,1.301382007444909,-0.5088663037444834,0.11809881438761521,0.9632525895892323,2.5228381655606396,2.396419660970774,1.5872830807976466,0.6165420948827689,4.592045026562408,1.5167851933378715,2.4807123370617004,1.5657787243826342,2.88073082169423,2.8424120919212728,0.8673424341585253,2.1715304640066426,2.5444062497435556,1.5576625597283755,3.12933880176976,2.058714382272965,0.5501743842470495,3.674371168622889,0.6011767444459272,0,0.9060291656949946,0.20170563935804942,0.3479659858402122,5.482042461828485e-4,0.35927060673005395,4.811689882822101e-5,0.3571347300547205,0.012659059121019167,0.0077860420004953745,2.8028988974249103e-7,1.489601940083407e-4,0.63117371958899815,1.791487941327219e-4,4.129042219247481e-8,0.19170260867006084,0.0028490329529347047,0.14967871628209917,0.4756896571896603,0.08329468598512846,0.5254719634259895
Likely agency,-3.6322206264931967,-1.3819662417539895,-10.50137649790379,1.7163771976823452,0.2680608079689388,-0.7109206414634881,0.5253289164747392,1.0894015896569624,1.5837325297977167,0.631647497824423,1.3430568754117793,0.6122352143552011,-0.7304950150308185,0.980126599013766,1.1267701611121714,0.8199100986172702,0.5401781445253183,1.8411579651021586,1.8485889795136679,0.9398821653778913,-0.17897794728568595,0.02645736719699666,0.25108437480049794,2.749857156026906e-5,5.564333425017989,1.3074266395562966,0.4911917777176417,1.691014959596249,2.972494768625052,4.87311093967064,1.8807064881601243,3.830735707251831,1.8445497584576178,0.4816704969303407,2.6647935808148024,3.0856741577339366,2.270295725632632,1.716312586643526,6.303833655688355,6.350852015122291,2.559679781658208,0.8361243380048812,0,0.26551851433650087,0,0.1602504714284816,0.3535486405318691,0.5577205054779548,0.6240603796564219,0.09639727302440781,0.002156121421100554,0.04003216052486458,9.873987353392621e-5,0.33773738790812735,0.36275929870730206,0.007457565402549271,1.7603571836755094e-4,0.145914622845829,0.5702064744049082,0.0017923163578541512,7.83050072438618e-4,0.5668251281318997,0.898503395029363
High indicators,-3.543208496467092,0.04064832379040366,-10.828874318221226,-8.909453322292254,-0.2864938290805428,-0.4626379274540083,1.48986621958368,-0.1781893708342801,0.5672001743629288,0.9724491753377643,1.413770136528687,0.4719485727257389,0.6210836518804868,0.5784045284489203,0.7823231179006406,-0.22369330579891805,0.4522846617812699,1.8160358303320905,0.8619715946199469,-9.40099059808639,1.9372786521483552,0.028920387103282725,1.0414857753646216,1.9818904199165935e-5,1.3510567306346973e-4,0.7508917122090704,0.6296205595616178,4.436501962221903,0.8367839460097674,1.7633231362897483,2.644413166131425,4.11142686158766,1.60311493777503,1.8609435645798427,1.7831911292429434,2.1865459738974855,0.7995603172820801,1.5718993445637592,6.147440586075914,2.367824484657398,8.264215983011922e-5,6.939839532604916,0,0.9453582084874526,0,0.9678532221309355,0.42229799277218927,0.6525891605604324,0.02402513329869649,0.8763792690752576,0.47088429618354155,1.30253137768932e-4,1.09223960997884e-5,0.47043097094550657,0.12359320013230968,0.17001912306301148,0.019641135880580585,0.8010115040277896,0.6342529453045378,0.0015456200520975738,0.2930749720820294,0,1.4325147711491404e-4
